Year,Birth_year,City,SBD,maths,Literature,Physics,Chemistry,Biology,Eng
2018,2000,Da Nang,4005073,3.6,6.25,,,,5.4
2018,2000,Da Nang,4005077,5.2,7,,,,6.4
2018,2000,Da Nang,4005898,7.4,4.5,,,,4.2
2018,2000,Da Nang,4005913,5.8,6.5,,,,3.4
2018,2000,Da Nang,4005918,5.8,2.25,,,,2.4
2018,2000,Da Nang,4005928,4.2,2,8,7.75,4.75,2.4
2018,2000,Da Nang,4005937,4.2,3.5,4.75,5.5,4.75,2.6
2018,2000,Da Nang,4005317,5.2,2.25,4,4,2.5,2.8
2018,2000,Da Nang,4005312,5.6,6.75,3.25,4.75,3.25,4.6
2018,2000,Da Nang,4005313,5.2,8,3.75,3.25,3.75,4.6
2018,2000,Da Nang,4004690,4.8,2.75,4.75,5,4.25,4.8
2018,2000,Da Nang,4004692,6.4,5.75,3,2.75,3.75,3.6
2018,2000,Da Nang,4004694,4.4,2,3.25,3.5,5.25,3
2018,2000,Da Nang,4004696,3.8,5.75,3,3.25,2.25,4
2018,2000,Da Nang,4004711,4.4,5.25,4.5,5.75,3.75,2.8
2018,2000,Da Nang,4004659,2,2.5,3.5,4.5,5.5,2.8
2018,2000,Da Nang,4004649,5.2,4,5.25,5.5,5.25,3.2
2018,2000,Da Nang,4004652,5.2,4.25,,,,1.6
2018,2000,Da Nang,4004655,3.4,2.25,3.25,3.5,3,2.4
2018,2000,Da Nang,4004657,4.6,2.5,,,,3
2018,2000,Da Nang,4004662,2.8,2.25,3.25,5,5.25,4.4
2018,2000,Da Nang,4004637,6,4,,,,2.2
2018,2000,Da Nang,4004680,3,4,3.75,3.5,4.5,3.2
2018,2000,Da Nang,4005078,4.6,6,3,4.5,4.5,2.4
2018,2000,Da Nang,4005075,4,2.75,,,,2.2
2018,2000,Da Nang,4005082,3.4,2.5,1.5,1.5,3.25,1.2
2018,2000,Da Nang,4004911,4.8,5.5,2.75,3,3.5,4.8
2018,2000,Da Nang,4004913,2.6,4,4,3.75,3,3
2018,2000,Da Nang,4004915,5.4,4.75,3.75,3.75,3.75,2.6
2018,2000,Da Nang,4004920,5.2,6,2.5,2,4,3
2018,2000,Da Nang,4005114,4.2,2.5,3.5,4.25,2.5,2
2018,2000,Da Nang,4005117,4.8,2.75,5,3.5,5.5,3.6
2018,2000,Da Nang,4005858,7.2,5.25,4.25,3.5,2.5,4.4
2018,2000,Da Nang,4005861,3.8,5,4.25,3,4.25,2.2
2018,2000,Da Nang,4005873,4.4,5.25,7,3.25,3.5,2.8
2018,2000,Da Nang,4005952,6.2,4,6.25,5.75,4.5,5
2018,2000,Da Nang,4005957,1.6,3.25,3.5,2.75,3.75,2.2
2018,1999,Da Nang,4005962,5.6,6.25,4.5,4,6,8
2018,1998,Da Nang,4005968,5.8,4.5,7.25,2.75,3,4
2018,2000,Da Nang,4005979,5.6,4,3.25,2.5,2.5,6.8
2018,2000,Da Nang,4005982,5.2,4.25,5.25,3.75,5.75,4.2
2018,2000,Da Nang,4005985,5.6,2.75,5.25,5,3.5,3.8
2018,2000,Da Nang,4005988,5.4,6.25,2.75,3.25,4.25,3.6
2018,2000,Da Nang,4005991,5.4,6,2.75,3,4,3.4
2018,2000,Da Nang,4005996,2.6,3.75,4.25,5.5,4.25,3
2018,2000,Da Nang,4006004,6,3,4.75,5.75,3.75,2.6
2018,2000,Da Nang,4006009,3.4,5,3.25,2.75,3.5,2.6
2018,2000,Da Nang,4006015,5.6,4.75,3.5,2,3.25,3
2018,2000,Da Nang,4006022,6.8,4.5,5.75,5.25,3,4.4
2018,2000,Da Nang,4006051,5.4,2.75,2.5,2.75,5,3
2018,2000,Da Nang,4004732,5.2,8.5,4.75,4,6.25,2.8
2018,2000,Da Nang,4004714,3.8,3.75,5.5,6.5,4.25,3.6
2018,2000,Da Nang,4004722,4,2.75,4.25,3,4,2.8
2018,2000,Da Nang,4004717,4.4,5.25,2.75,3.25,4,3
2018,2000,Da Nang,4004753,5.6,6.5,,,,2.8
2018,2000,Da Nang,4004740,2,3.5,4.5,6.5,5.5,2.8
2018,2000,Da Nang,4004742,3.8,5,,,,3.8
2018,2000,Da Nang,4004745,2.8,1.5,3,4.75,3.5,2.4
2018,2000,Da Nang,4004924,5.2,6.5,1.75,4.5,5,1.4
2018,2000,Da Nang,4004899,5.4,4.25,,,,2.2
2018,2000,Da Nang,4004900,4.2,3.25,5.5,5,5,4
2018,2000,Da Nang,4004903,2.8,4,5,5.75,6.25,2.6
2018,2000,Da Nang,4004933,6.6,5,2,3,3.75,3.8
2018,2000,Da Nang,4004872,3,3.5,3.25,1.5,3.75,3
2018,2000,Da Nang,4004874,5.8,6.25,5.25,5,4.25,2.8
2018,2000,Da Nang,4004875,2.4,3.75,5.25,3.75,3.5,1.4
2018,2000,Da Nang,4005876,5,4.25,2.25,2.25,3.75,5.8
2018,2000,Da Nang,4005879,5.4,2.75,5.5,5.5,3.75,2.4
2018,2000,Da Nang,4005885,4.2,5.25,2.25,1.5,4,3
2018,2000,Da Nang,4005889,6.8,5.25,3.75,2.75,2.75,2.6
2018,2000,Da Nang,4005892,3.6,5,4,6,5.75,3.8
2018,2000,Da Nang,4005895,6,4.25,2.25,2.75,5,3.2
2018,2000,Da Nang,4005896,6.2,5,5.25,7,5,3.6
2018,2000,Da Nang,4005897,4.4,4,3,3,3.25,3
2018,2000,Da Nang,4005899,7.6,5,2.75,5.75,6.75,3
2018,2000,Da Nang,4005914,5.4,5.5,4,5,6.25,4.8
2018,2000,Da Nang,4005919,3,2.25,3.25,2.25,3.5,2.8
2018,2000,Da Nang,4005929,6,5.75,7,6.5,4.5,8.2
2018,2000,Da Nang,4005934,7,4.75,3.5,6.25,3.5,7.8
2018,2000,Da Nang,4005939,4.8,4,2.25,2.5,2.25,3.6
2018,2000,Da Nang,4005946,4.8,4.75,4.75,3.5,5.25,5.4
